X;Explicit;Implicit;CrankNicolson
0,834308;20,460855;20,470743;20,470445
0,836257;20,480565;20,490936;20,490635
0,838207;20,501272;20,511863;20,511559
0,840156;20,522441;20,533543;20,533236
0,842105;20,544664;20,555998;20,555688
0,844055;20,567375;20,579248;20,578935
0,846004;20,591198;20,603314;20,602998
0,847953;20,615535;20,628218;20,627900
0,849903;20,641044;20,653983;20,653662
0,851852;20,667095;20,680630;20,680307
0,853801;20,694379;20,708182;20,707856
0,855750;20,722232;20,736661;20,736333
0,857700;20,751381;20,766091;20,765761
0,859649;20,781128;20,796494;20,796162
0,861598;20,812235;20,827895;20,827561
0,863548;20,843969;20,860316;20,859981
0,865497;20,877127;20,893782;20,893445
0,867446;20,910944;20,928316;20,927978
0,869396;20,946250;20,963944;20,963604
0,871345;20,982245;21,000688;21,000348
0,873294;21,019797;21,038575;21,038234
0,875244;21,058068;21,077629;21,077286
0,877193;21,097964;21,117874;21,117531
0,879142;21,138611;21,159335;21,158992
0,881092;21,180951;21,202038;21,201694
0,883041;21,224073;21,246008;21,245664
0,884990;21,268959;21,291270;21,290925
0,886940;21,314657;21,337850;21,337505
0,888889;21,362188;21,385772;21,385427
0,890838;21,410564;21,435062;21,434717
0,892788;21,460843;21,485745;21,485401
0,894737;21,511997;21,537847;21,537503
0,896686;21,565125;21,591394;21,591050
0,898635;21,619160;21,646410;21,646067
0,900585;21,675238;21,702920;21,702578
0,902534;21,732254;21,760951;21,760610
0,904483;21,791383;21,820526;21,820186
0,906433;21,851482;21,881671;21,881332
0,908382;21,913761;21,944411;21,944073
0,910331;21,977041;22,008770;22,008433
0,912281;22,042570;22,074773;22,074437
0,914230;22,109130;22,142444;22,142110
0,916179;22,178005;22,211806;22,211474
0,918129;22,247942;22,282885;22,282554
0,920078;22,320259;22,355703;22,355373
0,922027;22,393667;22,430283;22,429956
0,923977;22,469520;22,506649;22,506323
0,925926;22,546492;22,584824;22,584500
0,927875;22,625971;22,664828;22,664506
0,929825;22,706598;22,746686;22,746366
0,931774;22,789792;22,830417;22,830099
0,933723;22,874159;22,916044;22,915728
0,935673;22,961153;23,003587;23,003273
0,937622;23,049347;23,093066;23,092754
0,939571;23,140222;23,184501;23,184191
0,941520;23,232322;23,277912;23,277604
0,943470;23,327157;23,373318;23,373012
0,945419;23,423241;23,470737;23,470433
0,947368;23,522110;23,570186;23,569884
0,949318;23,622249;23,671684;23,671384
0,951267;23,725223;23,775246;23,774949
0,953216;23,829487;23,880890;23,880595
0,955166;23,936630;23,988630;23,988337
0,957115;24,045083;24,098483;24,098191
0,959064;24,156456;24,210461;24,210171
0,961014;24,269157;24,324579;24,324291
0,962963;24,384815;24,440850;24,440564
0,964912;24,501818;24,559286;24,559002
0,966862;24,621813;24,679899;24,679617
0,968811;24,743166;24,802700;24,802419
0,970760;24,867541;24,927699;24,927420
0,972710;24,993288;25,054906;25,054629
0,974659;25,122084;25,184330;25,184054
0,976608;25,252262;25,315978;25,315704
0,978558;25,385511;25,449859;25,449586
0,980507;25,520151;25,585979;25,585707
0,982456;25,657881;25,724343;25,724072
0,984405;25,797009;25,864957;25,864687
0,986355;25,939241;26,007824;26,007555
0,988304;26,082877;26,152950;26,152681
0,990253;26,229625;26,300335;26,300068
0,992203;26,377781;26,449983;26,449716
0,994152;26,529055;26,601893;26,601627
0,996101;26,681739;26,756068;26,755802
0,998051;26,837541;26,912505;26,912240
1,000000;26,994751;27,071205;27,070939
