X;Temperature_Explicit;Temperature_Implicit
0,920078;20,000000;20,000000
0,922027;20,000000;20,000000
0,923977;20,000000;20,000000
0,925926;20,000000;20,000000
0,927875;20,000000;20,000000
0,929825;20,000000;20,000000
0,931774;20,000000;20,000000
0,933723;20,000000;20,000000
0,935673;20,000000;20,000000
0,937622;20,000000;20,000000
0,939571;20,000000;20,000000
0,941520;20,000000;20,000000
0,943470;20,000000;20,000000
0,945419;20,000000;20,000000
0,947368;20,000000;20,000000
0,949318;20,000000;20,000000
0,951267;20,000000;20,000000
0,953216;20,000000;20,000000
0,955166;20,000000;20,000000
0,957115;20,000000;20,000000
0,959064;20,000000;20,000000
0,961014;20,000000;20,000000
0,962963;20,000000;20,000000
0,964912;20,000000;20,000000
0,966862;20,000000;20,000000
0,968811;20,000000;20,000000
0,970760;20,000000;20,000000
0,972710;20,000000;20,000000
0,974659;20,000000;20,000000
0,976608;20,000000;20,000000
0,978558;20,000000;20,000000
0,980507;20,000000;20,000000
0,982456;20,000000;20,000000
0,984405;20,000000;20,000000
0,986355;20,000000;20,000000
0,988304;20,000000;20,000000
0,990253;20,000000;20,000000
0,992203;20,000000;20,000000
0,994152;20,000000;20,000000
0,996101;20,000000;20,000000
0,998051;20,000000;20,000000
1,000000;20,000000;20,000000
