X;Explicit;Implicit;CN
0,847953;20,615535;20,628352;20,628034
0,849903;20,641315;20,654120;20,653799
0,851852;20,667095;20,680771;20,680448
0,853801;20,694664;20,708326;20,708001
0,855750;20,722232;20,736809;20,736481
0,857700;20,751680;20,766242;20,765912
0,859649;20,781128;20,796649;20,796318
0,861598;20,812549;20,828053;20,827720
0,863548;20,843969;20,860478;20,860143
0,865497;20,877456;20,893948;20,893611
0,867446;20,910944;20,928486;20,928148
0,869396;20,946594;20,964118;20,963778
0,871345;20,982245;21,000866;21,000526
0,873294;21,020156;21,038757;21,038415
0,875244;21,058068;21,077814;21,077472
0,877193;21,098339;21,118063;21,117720
0,879142;21,138611;21,159529;21,159185
0,881092;21,181342;21,202236;21,201891
0,883041;21,224073;21,246209;21,245865
0,884990;21,269365;21,291475;21,291130
0,886940;21,314657;21,338059;21,337714
0,888889;21,362610;21,385985;21,385640
0,890838;21,410564;21,435279;21,434934
0,892788;21,461280;21,485966;21,485621
0,894737;21,511997;21,538072;21,537728
0,896686;21,565578;21,591623;21,591279
0,898635;21,619160;21,646642;21,646300
0,900585;21,675707;21,703157;21,702815
0,902534;21,732254;21,761191;21,760850
0,904483;21,791868;21,820771;21,820430
0,906433;21,851482;21,881920;21,881580
0,908382;21,914261;21,944663;21,944325
0,910331;21,977041;22,009026;22,008689
0,912281;22,043085;22,075032;22,074697
0,914230;22,109130;22,142707;22,142373
0,916179;22,178536;22,212073;22,211741
0,918129;22,247942;22,283156;22,282825
0,920078;22,320804;22,355977;22,355648
0,922027;22,393667;22,430561;22,430233
0,923977;22,470080;22,506931;22,506605
0,925926;22,546492;22,585108;22,584784
0,927875;22,626545;22,665117;22,664795
0,929825;22,706598;22,746977;22,746657
0,931774;22,790378;22,830712;22,830394
0,933723;22,874159;22,916342;22,916026
0,935673;22,961753;23,003888;23,003574
0,937622;23,049347;23,093370;23,093058
0,939571;23,140834;23,184809;23,184499
0,941520;23,232322;23,278223;23,277915
0,943470;23,327781;23,373631;23,373325
0,945419;23,423241;23,471053;23,470749
0,947368;23,522745;23,570505;23,570203
0,949318;23,622249;23,672005;23,671705
0,951267;23,725868;23,775570;23,775273
0,953216;23,829487;23,881216;23,880921
0,955166;23,937285;23,988959;23,988666
0,957115;24,045083;24,098813;24,098522
0,959064;24,157120;24,210794;24,210504
0,961014;24,269157;24,324914;24,324626
0,962963;24,385487;24,441187;24,440901
0,964912;24,501818;24,559625;24,559341
0,966862;24,622492;24,680239;24,679957
0,968811;24,743166;24,803042;24,802761
0,970760;24,868227;24,928043;24,927764
0,972710;24,993288;25,055251;25,054974
0,974659;25,122775;25,184676;25,184400
0,976608;25,252262;25,316326;25,316051
0,978558;25,386207;25,450208;25,449934
0,980507;25,520151;25,586328;25,586056
0,982456;25,658580;25,724693;25,724422
0,984405;25,797009;25,865307;25,865037
0,986355;25,939943;26,008176;26,007907
0,988304;26,082877;26,153301;26,153033
0,990253;26,230329;26,300687;26,300420
0,992203;26,377781;26,450335;26,450068
0,994152;26,529760;26,602246;26,601979
0,996101;26,681739;26,756420;26,756154
0,998051;26,838245;26,912857;26,912592
1,000000;26,994751;27,071556;27,071291
